City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Rundu,NA,2021-03-21 22:05:27,-17.9333,19.7667,70.32,79,100,5.19
224,Touros,BR,2021-03-21 22:05:27,-5.1989,-35.4608,78.8,78,20,6.91
225,Sitka,US,2021-03-21 22:05:28,57.0531,-135.33,42.8,81,75,3.44
226,Bredasdorp,ZA,2021-03-21 22:05:28,-34.5322,20.0403,62.6,72,1,5.75
227,Daru,PG,2021-03-21 22:05:28,-9.0763,143.2092,81.07,83,100,4.07
228,Dharchula,IN,2021-03-21 22:05:29,29.85,80.5333,57.61,42,0,6.82
229,Port Hardy,CA,2021-03-21 22:05:29,50.6996,-127.4199,44.6,93,90,3.44
230,Bilibino,RU,2021-03-21 22:05:29,68.0546,166.4372,-12.32,60,0,1.66
231,Sume,BR,2021-03-21 22:05:30,-7.6717,-36.88,75.63,69,68,11.1
232,Houma,US,2021-03-21 22:05:30,29.5958,-90.7195,69.01,63,90,5.75
233,Almeirim,BR,2021-03-21 22:05:30,-1.5233,-52.5817,78.58,80,19,0.83
234,Qandala,SO,2021-03-21 22:05:30,11.472,49.8728,77.23,55,0,4.21
235,Tessalit,ML,2021-03-21 22:05:31,20.1986,1.0114,77.43,13,49,11.03
236,Chuy,UY,2021-03-21 22:05:31,-33.6971,-53.4616,67.3,83,72,10.31
237,Nitra,SK,2021-03-21 22:05:31,48.3076,18.0845,37.99,93,90,2.3
238,Abalak,RU,2021-03-21 22:05:32,58.1286,68.5944,11.34,95,3,3.4
239,Half Moon Bay,US,2021-03-21 22:05:32,37.4636,-122.4286,64.99,76,1,17.27
240,Labuhan,ID,2021-03-21 22:05:32,-6.8844,112.2051,77.76,87,83,5.19
241,Longyan,CN,2021-03-21 22:05:33,25.1072,117.0225,54.0,78,96,1.99
242,Purranque,CL,2021-03-21 22:03:30,-40.9167,-73.1667,77.0,36,0,6.91
243,Luanda,AO,2021-03-21 22:03:00,-8.8368,13.2343,77.0,88,20,5.75
244,Nagato,JP,2021-03-21 22:01:17,34.3833,131.2,48.2,57,75,4.61
245,Gambela,ET,2021-03-21 22:05:33,8.25,34.5833,82.06,53,60,2.55
246,Umred,IN,2021-03-21 22:05:33,20.85,79.3333,71.6,68,40,2.3
247,Virginia Beach,US,2021-03-21 22:04:52,36.8529,-75.978,53.01,71,40,18.41
248,Broken Hill,AU,2021-03-21 22:05:34,-31.95,141.4333,64.4,82,90,9.22
249,Kidal,ML,2021-03-21 22:05:34,18.4411,1.4078,83.1,11,73,14.5
250,Esperance,AU,2021-03-21 22:05:34,-33.8667,121.9,62.6,82,0,17.27
251,Pryazha,RU,2021-03-21 22:05:35,61.6926,33.6216,32.0,93,98,4.47
252,Jinxiang,CN,2021-03-21 22:05:25,27.4327,120.6062,50.56,76,100,8.05
253,Memaliaj,AL,2021-03-21 22:05:35,40.3517,19.9803,44.01,96,99,1.99
254,Brae,GB,2021-03-21 22:05:35,60.3964,-1.353,44.6,93,90,19.57
255,Hami,CN,2021-03-21 22:05:36,42.8,93.45,37.78,25,0,4.47
256,Tromso,NO,2021-03-21 22:03:02,69.6496,18.957,24.8,86,90,3.44
257,Faanui,PF,2021-03-21 22:05:36,-16.4833,-151.75,83.23,74,15,12.84
258,Meulaboh,ID,2021-03-21 22:05:37,4.1363,96.1285,76.24,89,79,5.21
259,Genhe,CN,2021-03-21 22:05:37,50.7833,121.5167,9.9,94,100,2.91
260,Katghora,IN,2021-03-21 22:05:37,22.5,82.55,72.14,33,0,5.44
261,Kochi,IN,2021-03-21 22:05:38,9.9399,76.2602,75.2,88,40,3.44
262,Chicama,PE,2021-03-21 22:05:38,-7.8447,-79.1469,71.6,88,40,9.22
263,Placido De Castro,BR,2021-03-21 22:05:38,-10.3353,-67.1856,79.61,78,33,2.51
264,Asyut,EG,2021-03-21 22:05:39,27.181,31.1837,86.0,25,0,11.5
265,Karasburg,NA,2021-03-21 22:05:39,-28.0167,18.75,75.6,44,34,5.59
266,Termiz,UZ,2021-03-21 22:05:39,37.2242,67.2783,53.6,82,0,6.91
267,Hay River,CA,2021-03-21 22:01:04,60.8156,-115.7999,3.2,60,92,6.91
268,Alofi,NU,2021-03-21 22:05:40,-19.0595,-169.9187,77.0,94,100,5.75
269,Havre-Saint-Pierre,CA,2021-03-21 22:05:40,50.2334,-63.5986,35.6,75,1,13.8
270,Kruisfontein,ZA,2021-03-21 22:05:40,-34.0033,24.7314,59.0,84,57,0.96
271,Coquimbo,CL,2021-03-21 22:02:59,-29.9533,-71.3436,66.2,63,0,12.66
272,Aranos,NA,2021-03-21 22:05:40,-24.1333,19.1167,67.37,82,83,13.22
273,Los Llanos De Aridane,ES,2021-03-21 22:05:41,28.6585,-17.9182,64.4,63,90,9.22
274,Galle,LK,2021-03-21 22:05:41,6.0367,80.217,76.95,83,93,1.63
275,Asau,RO,2021-03-21 22:05:41,46.4333,26.4,34.0,49,34,4.27
276,Bauchi,NG,2021-03-21 22:05:41,10.5,10.0,84.67,21,13,5.7
277,Chapais,CA,2021-03-21 22:05:42,49.7834,-74.8492,51.8,25,1,14.97
278,Honningsvag,NO,2021-03-21 22:05:42,70.9821,25.9704,28.4,74,40,16.11
279,Ngunguru,NZ,2021-03-21 22:05:42,-35.6167,174.5,70.0,66,4,5.01
280,Alexandria,EG,2021-03-21 22:03:06,31.2156,29.9553,77.0,41,40,11.5
281,Hirara,JP,2021-03-21 22:05:43,24.8,125.2833,60.8,67,75,16.11
282,Kamenka,RU,2021-03-21 22:05:43,51.3223,42.7678,20.84,85,35,7.4
283,Pulandian,CN,2021-03-21 22:05:43,39.3953,121.9669,39.2,60,0,11.18
284,Vestmannaeyjar,IS,2021-03-21 22:05:44,63.4427,-20.2734,44.85,76,100,24.4
285,Kavaratti,IN,2021-03-21 22:05:44,10.5669,72.642,82.04,72,8,7.65
286,Victoria,HK,2021-03-21 22:05:44,22.2855,114.1577,61.0,70,94,1.99
287,Avera,US,2021-03-21 22:05:45,33.194,-82.5271,64.4,59,75,8.05
288,Batagay,RU,2021-03-21 22:05:45,67.6333,134.6333,1.44,81,100,2.89
289,Cidreira,BR,2021-03-21 22:05:46,-30.1811,-50.2056,74.01,90,93,10.29
290,Nikolskoye,RU,2021-03-21 22:05:46,59.7035,30.7861,32.0,74,75,22.37
291,Randolph,US,2021-03-21 22:05:46,35.7001,-79.8164,64.4,36,40,9.22
292,Mahanoro,MG,2021-03-21 22:05:47,-19.9,48.8,75.16,91,99,4.59
